GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TemperatureSeries,ua.yandex.shad.tempseries,TemperatureSeriesAnalysis,15,517,2,72,4,93,3,47,1,12
TemperatureSeries,ua.yandex.shad.tempseries,TempSummaryStatistics,19,60,4,4,6,12,5,2,1,2
